,topic,document
274,1,"It's a great mouse, perfect and just what I was looking for. It's really quiet which I appreciate because louds clicks do get annoying after some time but not with this mouse. The lights are cool too! Really slim, so it's easy to pack in my work bag, and it feels great while using it."
275,3,fits well to contour of hand.  withstands multiple drops to the floor.  battery lasts quite a while after charging.  color changing is pretty.
276,12,works on phone laptop TV all that pretty cool and lights up so wahoo
277,1,"I really liked using this mouse. It died a hair quicker than I’d like but I would just use it wired while it charged up. However, a month after using it, the middle scroll circle clicked down and wouldn’t come back up, making it impossible for me to use (as I use that often in playing Sims).  I didn’t expect much as I didn’t pay much, but I was slightly disappointed."
278,-1,Bought this in the beginning of August  and it already doesn't work. Don't waste your money.
279,-1,"I like the fact that it turns off after some time, I like that it works with USB-C and I like that I can use it with my Mac or my PC and I like the charging cable."
280,4,"I use this mouse with my laptop, it worked pretty good when I first got it, then the wheel quit working. I have no idea why ."
281,1,"I saw all the positive reviews and thought this would be a winner. At first, it was great - loved the colors, it is easy to use, but after a few months the scroll wheel stopped working. I dug a little deeper into the reviews and realized this is a common theme. Now I have to buy another mouse already - and it won't be another one of these!"
282,5,It worked less than a month before it stopped charging and became useless. I purchased a second one and will see how long it lasts.
283,4,"Worked great for about 9 months. Stays charged for a long time, and like being able to use the C port in my laptop. However now the scroll button moves erratic. Scrolling down the page and the page jumps up., go up and it jumps down."
284,1,"I love this mouse! Easy to set up, easy to use. It seems to go forever on one charge. And the ever changing light color is really cool."
285,3,"Sleek and nice, love the colors! Great buy!"
286,-1,So cute and charge lasts forever
287,-1,What I REALLY liked was the USB to type C adapter which allowed me to plug USB memory sticks into my smart phone.
288,1,Second one. Same issue.  The mouse wheel just stops working.  Do not order this product learn from my mistakes.
289,14,Piece of junk. Already broken. Irritated
290,1,Love this little mouse for work. The clicking is soft and quiet so it's not annoying when I'm clicking on my computer all day. The color is pretty too and I love the lights.
291,20,Battery life sucks
292,4,The roller on top of the mouse quits working or falls down in the mouse.The colors and lights are fun but the mouse itself is defective. I have had 2 at this point and will not buy another.
293,1,"I was so excited when I got my mouse in to go with my laptop and it didn’t even work. I had it charge over night while it was off, and still wouldn’t connect."
294,1,"the mouse was great, it worked very good at first but one day it suddenly stopped charging so I haven’t used it in a while."
295,1,I absolutely love this mouse!  Great color!  Matches my laptop perfectly!  I love the color changing mode!  So fun!
296,3,"Sleek look and Battery lasts extremely long, I’ve only had to charge it once since getting it. Highly recommend!"
297,3," Feels great, wide and comfortable.  Lights up when you move around.  Likes so much I Bought a second one too."
298,21,"Do not recommend, I bought it two months ago and the roller part already broke and it is now useless"
299,1,"I got this mouse to use with my laptop, and it's great. Glides easily, holds a charge for quite a while, and enters sleep mode when not in use. To wake the mouse up, you just right or left click. The changing lights are a great and fun touch"
300,15,Everything
301,3,Lights are multicolored and are nice. Goes to sleep on its own and is great. Smooth and works fine. Until it breaks. Had it 4 months and 2 days and suddenly while scrolling the wheel broke
302,1,This is the worst mouse ever it’s hard to glide and it goes dead very fast. Wish I could return it!
303,-1,Worthless to spend 20 min trouble shooting every time i need to use it.
304,4,"The center scroll wheel lasted less than a week. The mouse itself still works, but it is aggravating that every time you use muscle memory to scroll with a wheel that doesn't work. Decent battery life. Bought a new, different brand mouse to replace it. The mouse also doesn't have much of an arch to it, so its not very ergonomic. Its better than a laptop track-pad though."
305,1,I love this mouse. I love how quite it is when I use it. Love the sleep feature on it as well. I have nothing bad to say about it. I use it for my online schooling.
